,Disease,Symptoms
119,Scabies Lyme Diease and other Infestations and Bites,"intense itching (pruritus)rash caused by an allergic reaction to body lice bitesred bumps on the skinthickened or darkened skin, usually near the waist or groin, if the lice have been there for a long time"
120,Scabies Lyme Diease and other Infestations and Bites,"stomach upset, vomiting, and diarrhea. In the mouth, the larvae are typically visible.

"
121,Scabies Lyme Diease and other Infestations and Bites,"The parasites saliva is irritating to many people, causing itching of the scalp. You might develop sores or red, raised bumps on your scalp from scratching your head without realizing why you are itchy at first.

 a ticklish feeling on your head, especially at night"
319,Scabies Lyme Diease and other Infestations and Bites,"Itching or rash
Pain radiating from the site of the bite
Muscle pain or cramping
Reddish to purplish color or blister
Increased sweating
Difficulty breathing
Headache
Nausea and vomiting
Fever
Chills
Anxiety or restlessness
High blood pressure"
318,Scabies Lyme Diease and other Infestations and Bites,Pubic lice are tiny insects that live on your pubic hair (the hair around your genitals). Pubic lice are also called crabs. Lice are a type of parasite because they feed off of human blood to survive.
317,Scabies Lyme Diease and other Infestations and Bites,"People with this form usually have fever, weight loss, and an enlarged spleen and liver. "
316,Scabies Lyme Diease and other Infestations and Bites,"Fever and chills
Body aches and muscle pain
Loss of appetite
Nausea
Vomiting
Stomach pain
Cough
Rash (typically occurs in about half of patients, and generally begins around day 5 of illness)
Severe illness can occur in some people, but deaths are rare (estimated to be less than 1% of all cases). Almost all cases resolve completely with appropriate antibiotics. Hospitalizations are frequent among people with unrecognized or untreated disease. The disease can cause severe illness can damage one or more organs, including the liver, kidneys, heart, lungs, and brain."
315,Scabies Lyme Diease and other Infestations and Bites,"Cutaneous larva migrans is a rare parasitic disease characterized by single or multiple, linear or serpiginous, erythematous, slightly elevated cutaneous tracks caused by the larval migration of various nematode species. Tracks are variable in length, generally a few millimeters wide and are frequently located on the feet (although any area of the body is possible). Patients typically present with severe, intractable pruritus, which, in some cases, may cause impaired concentration, loss of sleep, and mood disturbances."
136,Scabies Lyme Diease and other Infestations and Bites,"Flea bites generally cause the skin to raise, swell, and itch. The bite site has a single puncture point in the center. Bites often appear in clusters or small rows and can remain inflamed for up to several weeks.

"
286,Scabies Lyme Diease and other Infestations and Bites,"Itching in the genital area
Visible nits (lice eggs) or crawling lice"
138,Scabies Lyme Diease and other Infestations and Bites,"The onset of symptoms is typically three weeks after the first infestation of lice and is mainly an intense itch in the pubic area and groin, particularly at night, resulting from an allergic reaction to the saliva of feeding lice. In some infestations, a characteristic grey-blue or slate coloration macule appears (maculae caeruleae) at the feeding site, which may last for days. Nits or live lice may be seen crawling on the skin.Louse droppings may be noticed as a black powder in the underwear.
"
139,Scabies Lyme Diease and other Infestations and Bites,"How myiasis affects the human body depends on where the larvae are located. Larvae may infect dead, necrotic (prematurely dying) or living tissue in various sites: the skin, eyes, ears, stomach and intestinal tract, or in genitourinary sites. They may invade open wounds and lesions or unbroken skin. Some enter the body through the nose or ears. Larvae or eggs can reach the stomach or intestines if they are swallowed with food and cause gastric or intestinal myiasis. In extremely rare cases, maggots may occasionally infest the vulvar area.
"
176,Scabies Lyme Diease and other Infestations and Bites,"The earliest sign of infection is itching of the scalp. You may see your child scratching their scalp a lot. Lice and nits may be seen on the scalp and hair. Each louse is approximately 1-3 mm long and has 3 pairs of claw-like legs. Lice crawl; they do not jump or fly. Nits are smaller, about 0.5-1 mm, white-gray, and are firmly attached to the hair close to the scalp.

Small bumps that are red or darker than the surrounding skin may be seen on the scalp, neck, and shoulders. Occasionally, the lymph nodes behind the ears or in the neck may be swollen and tender. Lice may sometimes be seen on the eyelashes, causing the eyes to become red and irritated.

Because head lice infestations are itchy, scratching is common and may lead to resultant infection or scabbing. In addition to an itching or tickling sensation, children may also be irritable or have difficulty sleeping."
177,Scabies Lyme Diease and other Infestations and Bites,"Lice and their eggs (nits) can be seen attached to the hair in the pubic region and other areas where there is coarse hair. Small red or blue-gray macules (smooth, flat areas) or papules (smooth, raised areas) may be seen at the bite sites. The affected areas can be extremely itchy. Small specks of dried blood may be seen on clothing in the affected area, such as on underwear. The lymph nodes in the groin may be swollen."
178,Scabies Lyme Diease and other Infestations and Bites,"Insect bites usually present as small, itchy red bumps, with the occasional blister occurring. Some insects, such as fire ants, are known to cause a painful, itchy pus-filled bump.

Flying insects tend to choose exposed areas not covered by clothing, while some bugs (such as fleas) focus on the lower legs. Bedbugs prefer the head and neck area, often biting several times in the same area and leaving a group of lesions.

Common reactions to arthropod stings include:

Redness, pain, and swelling
Severe reactions such as facial swelling, difficulty breathing, and shock (anaphylaxis)
Fever, hives, and painful joints (though these reactions are not as common)
Very few spiders cause severe reactions. The black widow spider may cause only a mild local reaction at the bite site, but pain, stiffness, chills, fever, nausea, and abdominal pain may follow within a few hours. Similarly, the brown recluse spider causes a marked skin reaction after a few hours, with redness, pain, blistering, and ulcers forming, as well as fever, nausea, and fatigue."
239,Scabies Lyme Diease and other Infestations and Bites,"  The bite of a widow spider usually causes a sharp pain, somewhat like a pinprick, followed by a dull, sometimes numbing, pain in the area around the bite. Cramping pain and muscle stiffness, which may be severe, develop in the abdomen or the shoulders, back, and chest. Other symptoms may include nausea, vomiting, sweating, restlessness, anxiety, headache, drooping and swelling of the eyelids, rash and itching, severe breathing problems, increased saliva production, and weakness.        Did You Know...     Although tarantulas are large and may appear frightening, their bites do not seriously harm people.               The bite of a brown spider may cause little or no immediate pain, but some pain develops in the area around the bite within about an hour. Pain may be severe and may affect the entire injured area, which may become red and bruised and may itch. The rest of the body may itch as well. A blister forms, surrounded by a bruised area or by a more distinct red area that resembles a bullâs-eye. Then the blister enlarges, fills with blood, and ruptures, forming an open sore (ulcer) followed by a thick black scar (eschar) that may leave a large crater-like scar. Uncommonly, nausea and vomiting, aches, fatigue, chills, sweating, blood disorders, and kidney failure develop. "
117,Scabies Lyme Diease and other Infestations and Bites,"Common symptoms of a jellyfish sting include:

a burning, stinging sensation on your skin
a tingling or numbness where the sting occurred
the skin in the area where the jellyfish stung turning red or purple
More severe symptoms of a jellyfish sting include:

nausea
dizziness
vomiting
difficulty breathing"
110,Scabies Lyme Diease and other Infestations and Bites,"redness or discoloration
swelling
inflammation
warmth
a bump or blister where the bite wound is located. pus or fluid emerging from the wound
loss of feeling near the wound
red or discolored streaks near the wound
swollen lymph nodes
fever or chills
night sweats
fatigue
muscle weakness
inability to use your hand (if your hands been bitten)"
339,Scabies Lyme Diease and other Infestations and Bites,"If you see signs of infection, such as oozing and swelling, cover the bite with a regular bandage and call your doctor. You should also seek help if you have chills or a fever. "
421,Scabies Lyme Diease and other Infestations and Bites,"Common symptoms of myasthenia gravis include:droopy eyelidsdouble visiondifficulty making facial expressionsproblems chewing andÂ difficulty swallowingslurred speechweak arms, legs or neckshortness of breathÂ and occasionally serious breathing difficultiesThe symptoms tendÂ to get worse when you're tired. Many people find they're worse towards the end of the day, and better the next morning after getting some sleep.Read more about the symptoms ofÂ myasthenia gravis."
420,Scabies Lyme Diease and other Infestations and Bites,The main symptoms of sea creature stings are intense pain where you're stung and an itchy rash.Jellyfish and Portuguese man-of-war stings can also cause raised circular areas on the skin (welts).
419,Scabies Lyme Diease and other Infestations and Bites,"The main symptoms of an insect bite or sting are:pain where you were bitten or stunga small, swollen lump on the skinThe lump may look red. It may be more difficult to see on black or brown skin, but you should be able to feel it."
418,Scabies Lyme Diease and other Infestations and Bites,"The main symptom of hives is an itchy rash.The rash can:be raised bumps or patches in many shapes and sizesappear anywhere on the bodybe on 1 area or spread across the bodyfeel itchy, sting or burnlook pink or red when affecting someone with white skin; the colour of the rash can be harder to see on brown and black skin"
64,Scabies Lyme Diease and other Infestations and Bites,Snakes bite either to capture prey or for self-defense. But since there are so many different types of snakes â including both venomous and non-venomous â not every snake bite is created equal.
60,Scabies Lyme Diease and other Infestations and Bites,"A granuloma is an area of inflammation (the way your body protects itself from something harmful) in your body. Granulomas are clusters of white blood cells that âwall offâ bacteria, a foreign object or something else it thought was harmful from the rest of your body."
66,Scabies Lyme Diease and other Infestations and Bites,"Swimmerâs itch (cercarial dermatitis) is a temporary, non-contagious itchy rash that appears on your skin and is caused by a certain parasite found in fresh water (lake or pond water) or salt water (ocean water). If you swim in water thatâs infested with the parasite, it can burrow (dig) into your skin. Your body has an allergic reaction to it, causing a rash. The parasites cannot survive in human skin, so they die shortly after burrowing into your skin. The rash usually gets better after a few days, but it can last for up to two weeks."
67,Scabies Lyme Diease and other Infestations and Bites,"Flea bites are small, discolored bumps on your skin that come from a flea feeding on your blood."
342,Scabies Lyme Diease and other Infestations and Bites,"Small, raised skin bumps
Pain or itching
Allergic reactions with swelling or blistering
Call your healthcare provider if the symptoms don't go away or if you have any concerns or questions.

Call 911 or your local emergency medical service (EMS) if there are signs of a severe allergic reaction. The signs include:

Trouble breathing
Tightness in the throat or chest
Feeling faint
Feeling dizzy
Raised, red, itchy bumps (hives) over a large part of the body
Nausea and vomiting"
343,Scabies Lyme Diease and other Infestations and Bites,"Flu-like symptoms such as coughing, fever, chills, sore throat, headache, muscle aches, chest pain, respiratory distress.
Skin symptoms:  rash (hives), itching, numbness, dermatitis.
Respiratory symptoms: wheezing, tight chest, shortness of breath, runny nose, fluid in the lungs.
Gastrointestinal symptoms: abdominal cramps, nausea, vomiting, diarrhoea.
Ocular symptoms, conjunctivitis, photophobia, blurred vision, corneal ulceration.
Neurological symptoms: fatigue, dizziness, speech disturbance, bitter metallic taste, tremors, tingling or numbness of extremities.
Muscle symptoms: pain, weakness, cramps, spasms.
Cardiac effects: irregular, slow, fast hear rate, cardiac muscle damage, low or high blood pressure"
344,Scabies Lyme Diease and other Infestations and Bites,"Itching, which may be mild or very severe
Dry, scaly skin patches
Small bumps that open and ooze (weep) a clear fluid when scratched
Skin redness and swelling
Skin thickening (with chronic eczema)
Scratch marks on the skin
Too much rubbing and scratching can tear the skin and lead to infection."
345,Scabies Lyme Diease and other Infestations and Bites," These are often identified when many small bumps are grouped together on the skin. They are often seen on parts of the skin where clothes fit tightly and on the lower extremities. Small, raised skin bumps
Pain or itching
Allergic reactions with swelling or blistering
Call your healthcare provider if the symptoms don't go away or if you have any concerns or questions.

Call 911 or your local emergency medical service (EMS) if there are signs of a severe allergic reaction. The signs include:

Trouble breathing
Tightness in the throat or chest
Feeling faint
Feeling dizzy
Raised, red, itchy bumps (hives) over a large part of the body
Nausea and vomiting"
346,Scabies Lyme Diease and other Infestations and Bites,"Symptoms of jellyfish stings include:
Burning, prickling, stinging pain
Welts or tracks on the skin â a ""print"" of the tentacles' contact with the skin
Itchiness (pruritus)
Swelling
Throbbing pain that radiates up a leg or an arm
Severe jellyfish stings can affect multiple body systems. These reactions may appear rapidly or several hours after the stings. Symptoms of severe jellyfish stings include:
Stomach pain, nausea and vomiting
Headache
Muscle pain or spasms
Faintness, dizziness or confusion
Difficulty breathing
Heart problems
The severity of a reaction depends on:
The type and size of the jellyfish
The age, size and health of the person affected, with severe reactions more likely in children
How long the person was exposed to the stingers
How much of the skin is affected
Seek emergency treatment if you have severe symptoms.See your health care provider if your symptoms worsen or the wound shows symptoms of infection.Jellyfish stings are caused by brushing against a jellyfish tentacle. Tentacles have thousands of microscopic barbed stingers. Each stinger has a tiny bulb that holds venom and a coiled, sharp-tipped tube.When you brush against a tentacle, tiny triggers on its surface release the stingers. The tube pierces the skin and releases venom. It affects the area of contact and may enter the bloodstream.Jellyfish that have washed up on a beach may still release venomous stingers if touched.Many types of jellyfish are fairly harmless to humans. Others can cause severe pain and a full-body (systemic) reaction. These jellyfish cause more-serious problems in people:
Box jellyfish. Box jellyfish can cause intense pain and, rarely, life-threatening reactions. The more dangerous species of box jellyfish are in the warm waters of the Pacific and Indian oceans.
Portuguese man-of-war. Also called bluebottle jellyfish, Portuguese man-of-war jellyfish live mostly in warmer seas. This type has a blue or purplish gas-filled bubble that keeps it afloat.
Sea nettle. Common in both warm and cool seawaters.
Lion's mane jellyfish. These are the world's largest jellyfish, with a body diameter of more than 3 feet (1 meter). They're most common in cooler, northern regions of the Pacific and Atlantic oceans.
Conditions that increase the risk of jellyfish stings:
Swimming when jellyfish appear in large numbers (a jellyfish bloom)
Swimming or diving in jellyfish areas without protective clothing
Playing or sunbathing where jellyfish are washed up on the beach
Swimming in a place known to have many jellyfish
Possible complications of a jellyfish sting include:
Delayed skin reaction, causing blisters, rash or other irritation
Irukandji syndrome, which causes chest and stomach pain, high blood pressure, and heart problems
The following tips can help you avoid jellyfish stings:
Wear a protective suit. When swimming or diving in areas where jellyfish stings are possible, wear a wet suit or other protective clothing. Diving stores sell protective ""skin suits"" or ""stinger suits"" made of thin, high-tech fabric. Consider protective footwear, as stings can also occur while wading in shallow water.
Get information about conditions. Talk to lifeguards, local residents or officials with a local health department before swimming or diving in coastal waters, especially in areas where jellyfish are common.
Avoid water during jellyfish season. Stay out of the water in jellyfish areas when jellyfish numbers are high."
422,Scabies Lyme Diease and other Infestations and Bites,"Pubic lice are very small (2mm long) and grey-brown in colour.They can be hard to spot, but sometimes you may be able to see them in your hair.They most often live on pubic hair around the penis or vagina, but can also be found in hair on the chest, armpits, face and eyelashes. They do not affect hair on the head.Other symptoms of pubic lice include:itching, which is usually worse at nightsmall red or blue spots on your skin (lice bites)white/yellow dots attached to your hair (lice eggs)dark red or brown spots in your underwear (lice poo)crusted or sticky eyelashes, if they're affected"
347,Scabies Lyme Diease and other Infestations and Bites,Leishmaniasis (pronounced âleesh-muh-NAI-uh-suhsâ) is a group of illnesses caused by many types of Leishmania parasites. You get it from sand fly bites. It can cause disfiguring skin ulcers and life-threatening illnesses.
349,Scabies Lyme Diease and other Infestations and Bites,"Itching of the genital area is the most common symptom caused by pubic lice. Itching of the armpits is also common.

Usually, pubic lice live on pubic hair in the genital area. If you look carefully, you may be able to see visible nits or crawling lice. Less commonly, they live on hair on other parts of your body. This may include legs, armpits, beard, eyebrows, eyelashes, or on your head. Usually lice on the head are head lice, not pubic lice. Pubic lice on the eyelashes may cause eye burning or irritation."
350,Scabies Lyme Diease and other Infestations and Bites,"Itching of the genital area is the most common symptom caused by pubic lice. Itching of the armpits is also common.

Usually, pubic lice live on pubic hair in the genital area. If you look carefully, you may be able to see visible nits or crawling lice. Less commonly, they live on hair on other parts of your body. This may include legs, armpits, beard, eyebrows, eyelashes, or on your head. Usually lice on the head are head lice, not pubic lice. Pubic lice on the eyelashes may cause eye burning or irritation."
171,Scabies Lyme Diease and other Infestations and Bites,"The signs of CLM typically appear 1 to 5 days after infection, although sometimes it takes longer. Common signs and symptoms include:Red, twisting lesions that grow. CLM presents as a red lesion that has a twisting, snake-like pattern. This is due to the movement of the larvae under your skin. Lesions can move up to 2 centimeters in a day. Itchiness and discomfort. CLM lesions may itch, sting, or be painful. Swelling. Swelling can also be present. Lesions on the feet and backside. CLM can occur anywhere on the body, although it most often occurs on areas likely to be exposed to contaminated soil or sand, such as the feet, buttocks, thighs, and hands.Because CLM lesions can be intensely itchy, they're often scratched. This can break the skin, increasing the risk for a secondary bacterial infection."
352,Scabies Lyme Diease and other Infestations and Bites,"Can appear several days after infection, or not at all
Can last up to several weeks
Can be very small or grow very large (up to 12 inches across), and may resemble a ""bullseye""
Can mimic skin problems such as hives, eczema, sunburn, poison ivy, and flea bites
Can itch or feel hot, or may not be felt at all
Can disappear and return several weeks later
Several days or weeks after a bite from an infected tick, you may get the rash again. When the rash returns, it often affects many parts of the body. You may also have flu-like symptoms, such as:

Headache
Stiff neck
Aches and pains in muscles and joints
Low-grade fever and chills
Tiredness (fatigue)
Poor appetite
Swollen glands
Weeks to months after the bite, you may develop:

Nervous system symptoms, including inflammation (meningitis) and weakness and paralysis of a facial nerve (Bell palsy)
Heart problems, including inflammation of the heart (myopericarditis) and problems with heart rate
Eye problems, including inflammation (for example, red eye)
Months to a few years after a bite, you may have:

Inflammation of the joints (arthritis)
Nervous system symptoms, such as numbness in the arms or legs, tingling and pain, and trouble with speech, memory, and concentration"
109,Scabies Lyme Diease and other Infestations and Bites,"Cholesterol granulomas donât always cause symptoms when they first appear. When symptoms do appear, theyâll be related to the exact size and exact location of the cyst. Symptoms can increase and become more severe as the cholesterol granuloma continues to grow. Symptoms of cholesterol granulomas include:dizzinessheadachesblurry visiondouble visionfacial painfacial twitches or spasmsfacial numbnessfacial weaknessreduced hearingear painringing in the ear (tinnitus)fluid buildup in the eardifficulties with speechdifficulties with swallowingnerve damageseizureAs the cholesterol granuloma grows, the damage can be permanent. This can lead to symptoms such as hearing loss or nerve damage becoming long-term complications. Treatment can help avoid these complications. "
108,Scabies Lyme Diease and other Infestations and Bites,"If youâre bitten or stung, you may see or feel the animal on your skin during the attack. Some people donât notice the animal and may not be aware of a bite or sting until one or more of the following symptoms emerge:swellingredness or rashpain in the affected area or in the musclesitchingheat on and around the site of the bite or stingnumbness or tingling in the affected areaSymptoms of a severe reaction requiring immediate medical treatment include:feverdifficulty breathingnausea or vomitingmuscle spasmsrapid heart rateswelling of the lips and throatconfusionloss of consciousnessIf you feel ill or experience flu-like symptoms in the days following an insect or arachnid bite, see a doctor for tests to rule out infections or diseases you may have contracted from the animal."
196,Scabies Lyme Diease and other Infestations and Bites,"Pruritus (severe itching) in hairy areas, especially pubic hair.
Irritated skin that may be bloody or red from lice bites.
Specks of black lice droppings in your underwear.
Small white dots on pubic hair that are hard to remove (these are lice eggs).
Pale bluish spots on your thighs, buttocks and lower abdomen.
Low fever and feeling run-down."
68,Scabies Lyme Diease and other Infestations and Bites,"There are thousands of species of jellyfish around the world. Most jellyfish stings are harmless, but some can cause serious harm. Seek immediate medical help if youâre experiencing any life-threatening symptoms, such as difficulty breathing. But you can treat most jellyfish stings with a few basic first aid steps."
73,Scabies Lyme Diease and other Infestations and Bites,"Ticks are parasites that feed on warm-blooded hosts by biting them. A tick bite can infect humans and animals with bacteria, viruses and protozoans (organisms made up of one cell) that can cause diseases. Some of these conditions can be very serious and may include:"
72,Scabies Lyme Diease and other Infestations and Bites,Pubic lice are tiny insects that live on your pubic hair (the hair around your genitals). Pubic lice are also called crabs. Lice are a type of parasite because they feed off of human blood to survive.
71,Scabies Lyme Diease and other Infestations and Bites,"Head lice are tiny, crawling insects that live in the hair on a personâs head. The lice feed on blood sucked from your scalp and lay eggs (called nits) that firmly attach to the hair exposed at your skinâs surface (hair shafts). An infestation of head lice is pediculosis."
70,Scabies Lyme Diease and other Infestations and Bites,"Body lice are small, oblong insects that feed on human blood. Symptoms of body lice bites include itchy and irritated skin and small, discolored bites. You can treat and prevent body lice infestations by bathing daily and washing your clothing and bedding at least once a week. Medications can help get rid of severe body lice infestations."
69,Scabies Lyme Diease and other Infestations and Bites,Leishmaniasis (pronounced âleesh-muh-NAI-uh-suhsâ) is a group of illnesses caused by many types of Leishmania parasites. You get it from sand fly bites. It can cause disfiguring skin ulcers and life-threatening illnesses.
348,Scabies Lyme Diease and other Infestations and Bites,"The most common symptom of head lice is itching. The itching can be very bad, especially at night. Lice or their eggs (nits) can usually be seen on the hair, behind the ears, or on the neck. They can even be seen in the eyebrows and eyelashes"
423,Scabies Lyme Diease and other Infestations and Bites,"A circular or oval shape rash around a tick bite can be an early symptom of Lyme disease in some people.The rash can appear up to 3 months after being bitten by an infected tick, but usually appears within 1 to 4 weeks. It can last for several weeks.The rash can have a darker or lighter area in the centre and might gradually spread. It's not usually hot or itchy.The rash may be flat, or slightly raised, and look pink, red, or purple when it appears on white skin. It can be harder to see the rash on brown and black skin and it may look like a bruise.Some people also get flu-like symptoms a few days or weeks after they were bitten by an infected tick, such as:a high temperature, or feeling hot and shiveryheadachemuscle and joint paintiredness and loss of energy"
351,Scabies Lyme Diease and other Infestations and Bites,"Burning, pain, itching, or redness at the site (this is often delayed and may develop in a few hours or days of the bite)
A deep blue or purple area around the bite, surrounded by a whitish ring and large red outer ring similar to a target or bulls-eye
An open sore (ulcer) or blister that turns black
Headache, body aches
Rash
Fever
Nausea or vomiting
Black widow spider bite. Venom from the black widow spider has a toxin that can damage your nervous system. Symptoms of these bites include:

Immediate pain, burning, swelling, and redness at the site (double fang marks may be seen)
Cramping pain and muscle stiffness in the stomach, chest, shoulders, and back
Headache
Trouble breathing
Dizziness
Rash and itching
Restlessness and anxiety
Sweating
Eyelid swelling
Nausea or vomiting
Salivation, tearing of the eyes
Weakness, tremors, or paralysis, especially in the legs"
21,Scabies Lyme Diease and other Infestations and Bites,"Drooping of one or both eyelids, called ptosis.
Double vision, called diplopia, which may be horizontal or vertical, and improves or resolves when one eye is closed.
Make speaking difficult. Your speech might sound soft or nasal, depending on which muscles are affected.
Cause problems with swallowing. You might choke easily, making it difficult to eat, drink or take pills. Sometimes, liquids you're trying to swallow come out your nose.
Affect chewing. The muscles used for chewing might tire halfway through a meal. This is especially true if you've been eating something hard to chew, such as steak.
Change facial expressions. For example, your smile might look like a snarl.
Myasthenia gravis also can cause weakness in the neck, arms and legs. Weakness in the legs can affect how you walk. Weak neck muscles make it hard to hold up the head."
22,Scabies Lyme Diease and other Infestations and Bites,"
Itching. The most common symptom of head lice is itching on the scalp, neck and ears. This is an allergic reaction to louse bites. When a person has head lice for the first time, itching may not occur for 4 to 6 weeks.
Lice on scalp. You may be able to see the lice, but they're often hard to spot because they're small, avoid light and move quickly.
Lice eggs (nits) on hair shafts. Nits stick to hair shafts and may be hard to see because they're very tiny. They're easiest to spot around the ears and the hairline of the neck. Empty nits may be easier to spot because they're lighter in color and further from the scalp. However, the presence of nits doesn't mean there are live lice.
Sores on the scalp, neck and shoulders. Scratching can lead to small, red bumps that may sometimes get infected with bacteria.
"
340,Scabies Lyme Diease and other Infestations and Bites,"A cat bite or scratch that does not heal or worsens over time
Painful or swollen lymph glands. These are often under the armpits or on the side of the neck.
Flu-like symptoms, including headache, tiredness, decreased appetite, fatigue, joint pain, or fever
Body rash
The symptoms of cat scratch disease may not appear for more than a week after the child is scratched. Sometimes the delay can be as long as 6 weeks. The symptoms may look like other health conditions. Make sure your child sees his or her healthcare provider for a diagnosis"
391,Scabies Lyme Diease and other Infestations and Bites,Ticks live in wooded areas or grassy fields.
413,Scabies Lyme Diease and other Infestations and Bites,"The main symptoms of an insect bite or sting are:pain where you were bitten or stunga small, swollen lump on the skinThe lump may look red. It may be more difficult to see on black or brown skin, but you should be able to feel it."
23,Scabies Lyme Diease and other Infestations and Bites,"If you have pubic lice (crabs), you may experience intense itching in your genital region. Pubic lice can spread to other areas with coarse body hair, including the:
Legs
Chest
Armpits
Beard or mustache
Eyelashes or eyebrows, more commonly in children
"
93,Seborrheic Keratoses and other Benign Tumors,"Apart from the bumps on the skin, dermatofibromas rarely cause additional symptoms. The growths can range in color from pink to reddish to brown.They are usually between 7 and 10 millimeters in diameter, although they can be smaller or larger than this range.Dermatofibromas are also usually firm to the touch. They can also be mildly sensitive to the touch, although most don't cause symptoms.The growths can occur anywhere on the body but appear more often on exposed areas, such as the legs and arms."
163,Seborrheic Keratoses and other Benign Tumors,"Keloids are usually seen on the neck, ear lobes, legs, arms, and on the upper trunk, especially the chest. They frequently appear in the site of a previous injury. Keloids that arise spontaneously are common on the middle of the chest. Keloids are smooth, shiny, firm to the touch, and may have regular or irregular ridges. In lighter skin colors, they are often skin-colored, pink, or reddish. In darker skin colors, they are skin-colored or any shade of brown. Keloids may grow larger than the original area of injury."
94,Seborrheic Keratoses and other Benign Tumors,"Chondrodermatitis nodularis helicis produces one defining symptom: the appearance of a raised bump (called a papule, or a nodule) on the ear. This bump is usually on the helix or antihelix of a person's ear cartilage.The nodule creates a sensation of pain or pressure when irritated, and it's sensitive to the touch. Some people with CNH report episodes of stabbing pain at the area that last several hours. The nodule often appears spontaneously. However, some patients may have preceding trauma, frostbite, or chronic sun damage prior to the appearance of this lesion. No poking or squeezing of the nodule will shrink or get rid of it, though it may bleed if you try to remove it. "
95,Seborrheic Keratoses and other Benign Tumors,"Epidermoid cysts are often found on the head, neck, back, or genitals. They range in size from very small (millimeters) to inches across. They look like a small bump, and the overlying skin can be skin-colored, whitish, or yellowish in color.

Theyre filled with cheesy-like, white keratin debris. Theyre typically painless. Although, they can become inflamed and irritated. "
308,Seborrheic Keratoses and other Benign Tumors,"Symptoms tend to end when the keloid stops growing, but not always. This man developed keloids on his face after chickenpox cleared. Decades later, the keloids still itch and feel painful.The color of a keloid, like the one on this patients shoulder, can differ from that of your natural skin color. When a keloid first appears, its often red, pink, or slightly darker than your natural skin tone. As it grows, it may darken. Some become lighter in the center and darker at the edges.Some people say their keloid darkens noticeably after they spent time in the sun. This darkening can be permanent.Once a keloid stops growing, it tends to remain the same size. Unlike other scars, a keloid rarely fades without treatment.The keloid you see on your skin can look different from the keloid you see on someone elseâs skin. Sometimes, one keloid on your skin will look very different from another. The following pictures of keloids show how different keloids can look. Most keloids are either round, oval, or oblong. On the chest, arms, or legs, this scar is usually raised and has a flat surface. A keloid on the ear, neck, or belly may hang from the skin.A keloid can range from the size of a pimple to larger than a football.When you touch a keloid, youâre most likely to feel one of these textures. A few keloids have a texture thatâs somewhere in between hard and soft.Most people develop one or two keloids. Some people get several. Youâre more likely to develop many keloids after acne or chickenpox clears, but not always. The girl in this picture developed two keloids after chickenpox cleared.While most keloids are harmless, they can interfere with your life. A keloid can: When a keloid covers a large area or develops over a joint, the hardened, tight scar tissue often limits how far you can move. If this happens, it may affect your ability to reach, walk, and do other activities.A keloid rarely opens upon its own. Like the rest of your skin, you may see a keloid bleeding if you injure it. "
96,Seborrheic Keratoses and other Benign Tumors,"The symptoms of KA are visual and lasts two to three months. The look is often compared to a small volcano.First, KA shows up as small, round bump. Then, it grows into a lesion or wound and reaches a size of between 1 and 2 centimeters within a few weeks. The wound looks like a dome with a plug made of brown keratin, which is the same material as hair and skin.If the brown keratin comes out, the KA will look like a crater. When it heals, it'll flatten and leave a scar."
162,Seborrheic Keratoses and other Benign Tumors,"Lesions may be single or multiple. They are seen in areas where many oil glands are found, such as the face (nose, cheeks, and forehead), chest, and upper arms.

They are small (2-9 mm), painless, yellowish or sometimes pink or tan papules (small, solid bumps), often with a central depression or dimple."
98,Seborrheic Keratoses and other Benign Tumors,"Keloids come from the overgrowth of scar tissue. Keloid scars tend to be larger than the original wound. They may take weeks or months to fully develop.The symptoms of a keloid can include:a localized area that is flesh-colored, pink, or reda lumpy or ridged area of skin that's usually raisedan area that continues to grow larger with scar tissue over timean itchy patch of skinWhile keloid scars may be itchy, they're usually not harmful to your health. You may experience discomfort, tenderness, or irritation from your clothing or other forms of friction.Keloid scarring can form on large areas of your body, but this is generally rare. When it happens, the hardened, tight scar tissue may restrict your movement.Keloids are often more of a cosmetic concern than a health concern. You may feel self-conscious if a keloid is very large or in a highly visible location, such as on your earlobe or your face."
47,Seborrheic Keratoses and other Benign Tumors,"Fibromas are noncancerous tumors made up of fibrous tissue. They can occur almost anywhere in and on your body. Most fibromas donât cause symptoms. You may not even you know you have one. Fibromas occur for various reasons, but some have unknown causes. Treatment isnât usually necessary unless itâs interfering with your life or causing symptoms."
